backend	kernel	class	launches	manifest	note
cpu	mmaI8Kernel	PROBE	0	manifest	
cpu	moeCombineAddKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	moeCombineKernel	RAN	1	manifest	
cpu	moeGroupKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	moeScatterCombineKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	mxfp4MatVecKernel	RAN	1	manifest	
cpu	mxfp4MatVecKernelCoopQ8Surface	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	mxfp4MatVecKernelFast3	RAN	1	manifest	
cpu	mxfp4QuantActKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	narrowF32ToBf16	EXTERNAL	0	manifest	
cpu	padBf16	EXTERNAL	0	manifest	
cpu	padF16	EXTERNAL	0	manifest	
cpu	padF32	EXTERNAL	0	manifest	
cpu	q2kF16CoopX1Kernel	RAN	1	manifest	
cpu	q2kF16CoopX3Kernel	RAN	2	manifest	
cpu	q2kWidenKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q2kWmmaDeqMw8Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q3kF16CoopX1Kernel	RAN	1	manifest	
cpu	q3kF16CoopX3Kernel	RAN	1	manifest	
cpu	q3kWidenKernel	RAN	1	manifest	
cpu	q3kWmmaDeqMw8Kernel	RAN	1	manifest	
cpu	q40F16CoopX1Kernel	RAN	1	manifest	
cpu	q40F16CoopX3Kernel	RAN	2	manifest	
cpu	q40MatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q40WidenKernel	RAN	3	manifest	
cpu	q41F16CoopX1Kernel	RAN	1	manifest	
cpu	q41F16CoopX3Kernel	RAN	2	manifest	
cpu	q41MatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kF16CoopC7Kernel	PROBE	0	manifest	
cpu	q4kF16CoopCAKernel	PROBE	0	manifest	
cpu	q4kF16CoopCBKernel	PROBE	0	manifest	
cpu	q4kF16CoopCLKernel	PROBE	0	manifest	
cpu	q4kF16CoopCeilKernel	PROBE	0	manifest	
cpu	q4kF16CoopKernel	RAN	1	manifest	
cpu	q4kF16CoopM64Kernel	RAN	2	manifest	
cpu	q4kF16CoopN256GKernel	RAN	1	manifest	
cpu	q4kF16CoopN256Kernel	RAN	1	manifest	
cpu	q4kF16CoopV1Kernel	PROBE	0	manifest	
cpu	q4kF16CoopV7Kernel	PROBE	0	manifest	
cpu	q4kF16CoopX1Kernel	RAN	1	manifest	
cpu	q4kF16CoopX3Kernel	RAN	1	manifest	
cpu	q4kMatVecKernel	RAN	10957	manifest	
cpu	q4kMatVecKernelIL	RAN	1	manifest	
cpu	q4kQ8Batch4MatMulKernel	RAN	1	manifest	
cpu	q4kQ8BatchMatMulKernel	RAN	1174	manifest	
cpu	q4kQ8IdGateUpGluKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kQ8IdMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kQ8MatVecKernel	RAN	21	manifest	
cpu	q4kQ8MmqKernel	RAN	1	manifest	
cpu	q4kQ8PackedMatVecKernel	RAN	1	manifest	
cpu	q4kWidenKernel	RAN	417	manifest	
cpu	q4kWmmaDeqEpiKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaDeqKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaDeqMw4Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaDeqMw8Kernel	RAN	1305	manifest	
cpu	q4kWmmaDeqMwKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaDeqN4Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaDeqT2Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaEpiKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaIdEpiKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaIdKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q4kWmmaKernel	RAN	12	manifest	
cpu	q4kWmmaMwKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q50F16CoopX1Kernel	RAN	1	manifest	
cpu	q50F16CoopX3Kernel	RAN	2	manifest	
cpu	q50MatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q50WidenKernel	RAN	3	manifest	
cpu	q51F16CoopX1Kernel	RAN	1	manifest	
cpu	q51F16CoopX3Kernel	RAN	2	manifest	
cpu	q51MatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q5kF16CoopX1Kernel	RAN	1	manifest	
cpu	q5kF16CoopX3Kernel	RAN	2	manifest	
cpu	q5kMatVecKernel	RAN	1	manifest	
cpu	q5kWidenKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q6kF16CoopKernel	RAN	1	manifest	
cpu	q6kF16CoopM64Kernel	RAN	2	manifest	
cpu	q6kF16CoopN256GKernel	RAN	1	manifest	
cpu	q6kF16CoopN256Kernel	RAN	1	manifest	
cpu	q6kF16CoopX1Kernel	RAN	1	manifest	
cpu	q6kF16CoopX3Kernel	RAN	1	manifest	
cpu	q6kMatVecKernel	RAN	1592	manifest	
cpu	q6kQ8BatchMatMulKernel	RAN	64	manifest	
cpu	q6kQ8IdMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 6.4.2: the Q6_K packed-chunk MoE id kernels need a Q6_K expert-bank fixture; MoeIdKernelTest only builds Q4_K
cpu	q6kQ8MmqKernel	RAN	1	manifest	
cpu	q6kScaleImageKernel	SKIP	0	manifest	xpu-kernel-adaptor 4.2.1: reached only by MoeIdMw8Test.q6kWideWidenedIdAgreesWithThePackedChunkId, which skips on cpu because q6kWmmaIdMwKernel (fromWords) does not lower there
cpu	q6kWidenKernel	RAN	68	manifest	
cpu	q6kWmmaDeqMw4Kernel	RAN	307	manifest	
cpu	q6kWmmaDeqMw8Kernel	RAN	1	manifest	
cpu	q6kWmmaEpiKernel	RAN	1	manifest	
cpu	q6kWmmaIdEpiKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q6kWmmaIdKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	q6kWmmaKernel	RAN	1	manifest	
cpu	q80F16CoopX1Kernel	RAN	1	manifest	
cpu	q80F16CoopX3Kernel	RAN	2	manifest	
cpu	q80WidenKernel	RAN	3	manifest	
cpu	q80WmmaDeqMw8Kernel	RAN	7	manifest	
cpu	q8MatVecKernel	RAN	86	manifest	
cpu	q8kPackKernel	RAN	1301	manifest	
cpu	qkNormRowsF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	reduceMaxF32	EXTERNAL	0	manifest	
cpu	reduceMinF32	EXTERNAL	0	manifest	
cpu	reduceSumBf16	EXTERNAL	0	manifest	
cpu	reduceSumF16	EXTERNAL	0	manifest	
cpu	reduceSumF32	EXTERNAL	0	manifest	
cpu	reduceSumSqF32	EXTERNAL	0	manifest	
cpu	rmsnormF32	RAN	1	manifest	
cpu	rmsnormPackRowF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	rmsnormRowF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	rmsnormRowsF32	RAN	492	manifest	
cpu	ropeDecodeKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	ropeF32	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	routeHistKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	routerBatchF32Kernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	routerF32MatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	rowReadKernel	PROBE	0	manifest	
cpu	scaleF32	RAN	1	manifest	
cpu	scanStepF32	EXTERNAL	0	manifest	
cpu	scatterF32	EXTERNAL	0	manifest	
cpu	skewReadKernel	PROBE	0	manifest	
cpu	sliceF32	RAN	32	manifest	
cpu	sliceI8Kernel	RAN	1	manifest	
cpu	splitKernel	SKIP	0	manifest	xpu-kernel-adaptor 6.4.1: the byte-wise split is unreachable, every split format is dword-addressable (CensusReachTest pins the sweep); remove it or give it a format
cpu	splitPayloadKernel	RAN	225	manifest	
cpu	splitRows3F32	RAN	1	manifest	
cpu	splitScaleKernel	RAN	90	manifest	
cpu	splitScaleWordKernel	RAN	135	manifest	
cpu	streamReadKernel	PROBE	0	manifest	
cpu	symQ8IdMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 1.6.4: the suite's device arms skip on cpu by guard; lift it where the cpu backend lowers the kernel (4A), or classify it 'the backend truly cannot' (1.6.3)
cpu	symScaleImageKernel	RAN	7	manifest	
cpu	symWmmaDeqIdMw8Kernel	RAN	1	manifest	
cpu	symWmmaDeqMw8IdKernel	RAN	1	manifest	
cpu	tileMmaKernel	PROBE	0	manifest	
cpu	tileSplatKernel	PROBE	0	manifest	
cpu	touchLinesKernel	PROBE	0	manifest	
cpu	tq10F16CoopX1Kernel	RAN	1	manifest	
cpu	tq10F16CoopX3Kernel	RAN	15	manifest	
cpu	tq20F16CoopX1Kernel	RAN	1	manifest	
cpu	tq20F16CoopX3Kernel	RAN	15	manifest	
cpu	wideReadKernel	PROBE	0	manifest	
cpu	attnCombinePrefillV2Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_max_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashDecodeGqa1Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashDecodeGqa4Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashDecodeGqa8Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashPrefillGqa4Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashPrefillKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnFlashPrefillTileKernel	DECLINED	0	no-manifest	no cpu device code — barrier fission: XPU kernel lowering: unsupported barrier construct on the CPU backend — a barrier in a loop with a work-item-dependent trip count (must be uniform) (XPU-N02) [tracked: xpu-kernel-adaptor 4.2.1]
cpu	attnReducePackQ8Kernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_max_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	f16F32WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2sIq3xxsQkvWaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2sQ8WaveGateUpGluKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2sQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2sQ8WaveMatVecLdsKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2xsQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq2xxsQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3sQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3xxsQ8IdGateUpGluKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3xxsQ8IdMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3xxsQ8WaveGateUpGluKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3xxsQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq3xxsQkvWaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq4nlF32WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq4nlQ8IdDownCombineKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq4nlQ8IdMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	iq4nlQ8WaveMatVecKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_sum_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
cpu	moeTopKBatchKernel	DECLINED	0	no-manifest	no cpu device code — __cajeta_xpu_wave_reduce_max_f32 was left scalar (a work-item loop did not vectorize at the wave width 8), which would run the wave op with width-1 semantics [tracked: xpu-kernel-adaptor 4.2.1]
