kernel	family	counterpart	shape	note
iq2sQ8WaveGateUpGluKernel	wave	NONE	-	fused gate+up+GLU: llama.cpp runs two MUL_MAT and a GLU; judged by roofline
iq2sQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq2sQ8WaveMatVecLdsKernel	wave	mmvq.cu:mul_mat_vec_q	-	LDS-staged variant of the wave mat-vec
iq2xsF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xsF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xsF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xsQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq2xxsF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xxsF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xxsF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq2xxsQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq3sF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3sF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3sF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3sQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq3xxsF16CoopIdN64Kernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
iq3xxsF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3xxsF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3xxsF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq3xxsQ8IdGateUpGluKernel	wave	NONE	-	fused MoE gate+up+GLU id form; judged by roofline
iq3xxsQ8IdMatVecKernel	wave	mmvq.cu:mul_mat_vec_q (MUL_MAT_ID)	-	MoE id form; the reference model is dense
iq3xxsQ8WaveGateUpGluKernel	wave	NONE	-	fused gate+up+GLU: llama.cpp runs two MUL_MAT and a GLU; judged by roofline
iq3xxsQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq3xxsQkvWaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	fused q/k/v three-weight form; llama.cpp runs three MUL_MAT; judged against three mmvq launches
iq4nlF16CoopIdN64Kernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
iq4nlF16CoopN64Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq4nlF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq4nlF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq4nlF32WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq4nlMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq4nlQ8IdDownCombineKernel	wave	NONE	-	fused MoE down mat-vec + weighted combine; llama.cpp runs MUL_MAT_ID then a weighted reduction; judged by roofline
iq4nlQ8IdMatVecKernel	wave	mmvq.cu:mul_mat_vec_q (MUL_MAT_ID)	-	MoE id form; the reference model is dense
iq4nlQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iq4xsF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq4xsF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
iq4xsMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
iqTableProbeKernel	utility	NONE	-	codebook table read probe shipped in QuantKernel; judged by roofline
kvAppendKernel	utility	set-rows.cu:set_rows	-	KV cache write
kvAppendRangeKernel	utility	set-rows.cu:set_rows	-	KV cache write
moeCombineAddKernel	utility	moe-weighted-reduction.cu:moe_weighted_reduction	-	MoE expert combine; the reference model is dense
moeCombineKernel	utility	moe-weighted-reduction.cu:moe_weighted_reduction	-	MoE expert combine; the reference model is dense
moeGroupKernel	utility	mmid.cu:mm_ids_helper	-	expert id grouping; llama.cpp sorts ids inside MUL_MAT_ID
moeScatterCombineKernel	utility	moe-weighted-reduction.cu:moe_weighted_reduction	-	MoE expert combine; the reference model is dense
moeTopKBatchKernel	utility	topk-moe.cu:topk_moe	-	MoE routing; the reference model is dense
moeTopKKernel	utility	topk-moe.cu:topk_moe	-	MoE routing; the reference model is dense
mxfp4MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	mxfp4 (gpt-oss); not in the reference model
mxfp4MatVecKernelCoop	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
mxfp4MatVecKernelCoopQ8	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
mxfp4MatVecKernelCoopQ8Surface	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
mxfp4MatVecKernelFast3	scalar	mmvq.cu:mul_mat_vec_q	-	mxfp4 (gpt-oss); not in the reference model
mxfp4QuantActKernel	utility	quantize.cu:quantize_q8_1	4096,14336	activation quantization; llama.cpp does it inside MUL_MAT
q2kF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q2kF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q2kQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q2kWidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q2kWmmaDeqMw8Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes; dequantizes to f16 then WMMA; same op as MMQ
q3kF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q3kF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q3kQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q3kWidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q3kWmmaDeqMw8Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes; dequantizes to f16 then WMMA; same op as MMQ
q40F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q40F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q40F32WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q40MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q40Q8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q40WidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q41F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q41F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q41MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q4kF16CoopKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kF16CoopM64Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kF16CoopN256GKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	1024x4096,4096x4096,14336x4096,4096x14336	
q4kMatVecKernelIL	scalar	mmvq.cu:mul_mat_vec_q	1024x4096,4096x4096,14336x4096,4096x14336	
q4kQ8Batch4MatMulKernel	batch	mmvq.cu:mul_mat_vec_q	1024x4096x4,4096x4096x4,14336x4096x4,4096x14336x4	batched decode n in 2..8: llama.cpp takes mmvq up to MMVQ_MAX_BATCH_SIZE 8
q4kQ8BatchMatMulKernel	batch	mmvq.cu:mul_mat_vec_q	1024x4096x4,4096x4096x4,14336x4096x4,4096x14336x4	batched decode n in 2..8: llama.cpp takes mmvq up to MMVQ_MAX_BATCH_SIZE 8
q4kQ8IdDownCombineKernel	wave	NONE	-	fused MoE down mat-vec + weighted combine; llama.cpp runs MUL_MAT_ID then a weighted reduction; judged by roofline
q4kQ8IdGateUpGluKernel	wave	NONE	-	fused MoE gate+up+GLU id form; judged by roofline
q4kQ8IdMatVecKernel	wave	mmvq.cu:mul_mat_vec_q (MUL_MAT_ID)	-	MoE id form; the reference model is dense
q4kQ8MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	1024x4096,4096x4096,14336x4096,4096x14336	
q4kQ8MmqKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kQ8PackedMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	1024x4096,4096x4096,14336x4096,4096x14336	
q4kQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	1024x4096,4096x4096,14336x4096,4096x14336	
q4kWidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q4kWmmaDeqEpiKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	epilogue fused into the tile; the counterpart op is the bare MUL_MAT; dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqMw4Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqMw8Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqMwKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqN4Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaDeqT2Kernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	dequantizes to f16 then WMMA; same op as MMQ
q4kWmmaEpiKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	epilogue fused into the tile; the counterpart op is the bare MUL_MAT
q4kWmmaIdEpiKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense; epilogue fused into the tile; the counterpart op is the bare MUL_MAT
q4kWmmaIdKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
q4kWmmaIdMw8Kernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
q4kWmmaIdMwKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
q4kWmmaKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q4kWmmaMwKernel	coop	mmq.cu:mul_mat_q	4096x4096x512,14336x4096x512,4096x14336x512	
q50F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q50F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q50F32WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q50MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q50Q8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q50WidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q51F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q51F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q51MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q5kF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q5kF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q5kMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q5kQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q5kWidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q6kF16CoopKernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kF16CoopM64Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kF16CoopN256GKernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kF16CoopN256Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kF16CoopX1Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kF16CoopX3Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kMatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	1024x4096,4096x14336,128256x4096	
q6kQ8BatchMatMulKernel	batch	mmvq.cu:mul_mat_vec_q	1024x4096x4,4096x14336x4,128256x4096x4	batched decode n in 2..8: llama.cpp takes mmvq up to MMVQ_MAX_BATCH_SIZE 8
q6kQ8IdDownCombineKernel	wave	NONE	-	fused MoE down mat-vec + weighted combine; llama.cpp runs MUL_MAT_ID then a weighted reduction; judged by roofline
q6kQ8IdMatVecKernel	wave	mmvq.cu:mul_mat_vec_q (MUL_MAT_ID)	-	MoE id form; the reference model is dense
q6kQ8MmqKernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q6kQ8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	1024x4096,4096x14336,128256x4096	
q6kScaleImageKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
q6kWidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q6kWmmaDeqMw4Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	dequantizes to f16 then WMMA; same op as MMQ
q6kWmmaDeqMw8Kernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	dequantizes to f16 then WMMA; same op as MMQ
q6kWmmaEpiKernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	epilogue fused into the tile; the counterpart op is the bare MUL_MAT
q6kWmmaIdEpiKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense; epilogue fused into the tile; the counterpart op is the bare MUL_MAT
q6kWmmaIdKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
q6kWmmaIdMwKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense
q6kWmmaKernel	coop	mmq.cu:mul_mat_q	1024x4096x512,4096x14336x512,128256x4096x512	
q80F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q80F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
q80F32WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q80Q8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q80WidenKernel	utility	convert.cu:dequantize_block	-	widen to q8 for the batched path; llama.cpp dequantizes to f16 on the cuBLAS path instead
q80WmmaDeqMw8Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes; dequantizes to f16 then WMMA; same op as MMQ
q8MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
q8kPackKernel	utility	quantize.cu:quantize_q8_1	4096,14336	activation quantization; llama.cpp does it inside MUL_MAT
qkNormRowsF32	utility	norm.cu:rms_norm_f32	4096	
qkPrepKernel	utility	NONE	-	fused qk-norm + rope prep; judged by roofline
qkvWaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	fused q/k/v three-weight form; llama.cpp runs three MUL_MAT; judged against three mmvq launches
rmsnormF32	utility	norm.cu:rms_norm_f32	4096	
rmsnormPackRowF32	utility	NONE	-	fused rms-norm + q8 pack; judged by roofline
rmsnormRouterTopKKernel	utility	NONE	-	fused rms-norm + router mat-vec + top-k; judged by roofline
rmsnormRowF32	utility	norm.cu:rms_norm_f32	4096	
rmsnormRowsF32	utility	norm.cu:rms_norm_f32	4096	
ropeDecodeKernel	utility	rope.cu:rope_neox	4096	
ropeF32	utility	rope.cu:rope_neox	4096	
routeHistKernel	utility	mmid.cu:mm_ids_helper	-	expert id grouping; llama.cpp sorts ids inside MUL_MAT_ID
routerBatchF32Kernel	utility	mmvf.cu:mul_mat_vec_f	-	router f32 mat-vec; the reference model is dense
routerF32MatVecKernel	scalar	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
routerTopKKernel	utility	topk-moe.cu:topk_moe	-	MoE routing; the reference model is dense
routerTopKWaveKernel	utility	topk-moe.cu:topk_moe	-	MoE routing; the reference model is dense
scaleF32	utility	scale.cu:scale	4096	
sliceF32	utility	NONE	-	a view in ggml, no kernel; judged by roofline
sliceI8Kernel	utility	NONE	-	a view in ggml, no kernel; judged by roofline
splitKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
splitPayloadKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
splitRows3F32	utility	NONE	-	a view in ggml, no kernel; judged by roofline
splitScaleKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
splitScaleWordKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
symQ8IdDownCombineKernel	wave	NONE	-	fused MoE down mat-vec + weighted combine; llama.cpp runs MUL_MAT_ID then a weighted reduction; judged by roofline
symQ8IdMatVecKernel	wave	mmvq.cu:mul_mat_vec_q (MUL_MAT_ID)	-	MoE id form; the reference model is dense
symScaleImageKernel	utility	NONE	-	cajeta's resident split layout; llama.cpp stores blocks whole; judged by roofline
symWmmaDeqIdMw8Kernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense; dequantizes to f16 then WMMA; same op as MMQ
symWmmaDeqMw8IdKernel	coop	mmq.cu:mul_mat_q (MUL_MAT_ID)	-	MoE id tile; the reference model is dense; dequantizes to f16 then WMMA; same op as MMQ
tq10F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
tq10F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
tq10Q8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
tq20F16CoopX1Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
tq20F16CoopX3Kernel	coop	mmq.cu:mul_mat_q	-	format not in the reference model; judged at the q4_K prefill shapes
tq20Q8WaveMatVecKernel	wave	mmvq.cu:mul_mat_vec_q	-	format not in the reference model; judged at the q4_K shapes
