backend	kernel	class	launches	manifest	note
cuda	moeScatterCombineKernel	RAN	12	manifest	
cuda	moeTopKBatchKernel	RAN	12	manifest	
cuda	moeTopKKernel	RAN	42	manifest	
cuda	mxfp4MatVecKernel	RAN	1	manifest	
cuda	mxfp4MatVecKernelCoop	RAN	1	manifest	
cuda	mxfp4MatVecKernelCoopQ8	RAN	1	manifest	
cuda	mxfp4MatVecKernelCoopQ8Surface	RAN	1	manifest	
cuda	mxfp4MatVecKernelFast3	RAN	1	manifest	
cuda	mxfp4QuantActKernel	RAN	2	manifest	
cuda	narrowF32ToBf16	EXTERNAL	0	manifest	
cuda	padBf16	EXTERNAL	0	manifest	
cuda	padF16	EXTERNAL	0	manifest	
cuda	padF32	EXTERNAL	0	manifest	
cuda	q2kF16CoopX1Kernel	RAN	1	manifest	
cuda	q2kF16CoopX3Kernel	RAN	2	manifest	
cuda	q2kQ8WaveMatVecKernel	RAN	1	manifest	
cuda	q2kWidenKernel	RAN	2	manifest	
cuda	q2kWmmaDeqMw8Kernel	RAN	2	manifest	
cuda	q3kF16CoopX1Kernel	RAN	1	manifest	
cuda	q3kF16CoopX3Kernel	RAN	2	manifest	
cuda	q3kQ8WaveMatVecKernel	RAN	1	manifest	
cuda	q3kWidenKernel	RAN	2	manifest	
cuda	q3kWmmaDeqMw8Kernel	RAN	2	manifest	
cuda	q40F16CoopX1Kernel	RAN	1	manifest	
cuda	q40F16CoopX3Kernel	RAN	2	manifest	
cuda	q40F32WaveMatVecKernel	RAN	1	manifest	
cuda	q40MatVecKernel	RAN	1	manifest	
cuda	q40Q8WaveMatVecKernel	RAN	1	manifest	
cuda	q40WidenKernel	RAN	3	manifest	
cuda	q41F16CoopX1Kernel	RAN	1	manifest	
cuda	q41F16CoopX3Kernel	RAN	2	manifest	
cuda	q41MatVecKernel	RAN	1	manifest	
cuda	q4kF16CoopC7Kernel	PROBE	0	manifest	
cuda	q4kF16CoopCAKernel	PROBE	0	manifest	
cuda	q4kF16CoopCBKernel	PROBE	0	manifest	
cuda	q4kF16CoopCLKernel	PROBE	0	manifest	
cuda	q4kF16CoopCeilKernel	PROBE	0	manifest	
cuda	q4kF16CoopKernel	RAN	1	manifest	
cuda	q4kF16CoopM64Kernel	RAN	2	manifest	
cuda	q4kF16CoopN256GKernel	RAN	1	manifest	
cuda	q4kF16CoopN256Kernel	RAN	1	manifest	
cuda	q4kF16CoopV1Kernel	PROBE	0	manifest	
cuda	q4kF16CoopV7Kernel	PROBE	0	manifest	
cuda	q4kF16CoopX1Kernel	RAN	1	manifest	
cuda	q4kF16CoopX3Kernel	RAN	1	manifest	
cuda	q4kMatVecKernel	RAN	24	manifest	
cuda	q4kMatVecKernelIL	RAN	1	manifest	
cuda	q4kQ8Batch4MatMulKernel	RAN	1	manifest	
cuda	q4kQ8BatchMatMulKernel	RAN	1306	manifest	
cuda	q4kQ8IdDownCombineKernel	RAN	34	manifest	
cuda	q4kQ8IdGateUpGluKernel	RAN	34	manifest	
cuda	q4kQ8IdMatVecKernel	RAN	4	manifest	
cuda	q4kQ8MatVecKernel	RAN	3	manifest	
cuda	q4kQ8MmqKernel	RAN	1	manifest	
cuda	q4kQ8PackedMatVecKernel	RAN	3	manifest	
cuda	q4kQ8WaveMatVecKernel	RAN	7458	manifest	
cuda	q4kWidenKernel	RAN	613	manifest	
cuda	q4kWmmaDeqEpiKernel	RAN	1	manifest	
cuda	q4kWmmaDeqKernel	RAN	1	manifest	
cuda	q4kWmmaDeqMw4Kernel	RAN	29	manifest	
cuda	q4kWmmaDeqMw8Kernel	RAN	13333	manifest	
cuda	q4kWmmaDeqMwKernel	RAN	1	manifest	
cuda	q4kWmmaDeqN4Kernel	RAN	1	manifest	
cuda	q4kWmmaDeqT2Kernel	RAN	1	manifest	
cuda	q4kWmmaEpiKernel	RAN	1	manifest	
cuda	q4kWmmaIdEpiKernel	RAN	1	manifest	
cuda	q4kWmmaIdKernel	RAN	2	manifest	
cuda	q4kWmmaIdMw8Kernel	RAN	7	manifest	
cuda	q4kWmmaIdMwKernel	RAN	28	manifest	
cuda	q4kWmmaKernel	RAN	122	manifest	
cuda	q4kWmmaMwKernel	RAN	1	manifest	
cuda	q50F16CoopX1Kernel	RAN	1	manifest	
cuda	q50F16CoopX3Kernel	RAN	2	manifest	
cuda	q50F32WaveMatVecKernel	RAN	1	manifest	
cuda	q50MatVecKernel	RAN	1	manifest	
cuda	q50Q8WaveMatVecKernel	RAN	1	manifest	
cuda	q50WidenKernel	RAN	3	manifest	
cuda	q51F16CoopX1Kernel	RAN	1	manifest	
cuda	q51F16CoopX3Kernel	RAN	2	manifest	
cuda	q51MatVecKernel	RAN	1	manifest	
cuda	q5kF16CoopX1Kernel	RAN	1	manifest	
cuda	q5kF16CoopX3Kernel	RAN	3	manifest	
cuda	q5kMatVecKernel	RAN	1	manifest	
cuda	q5kQ8WaveMatVecKernel	RAN	1	manifest	
cuda	q5kWidenKernel	RAN	1	manifest	
cuda	q6kF16CoopKernel	RAN	1	manifest	
cuda	q6kF16CoopM64Kernel	RAN	2	manifest	
cuda	q6kF16CoopN256GKernel	RAN	1	manifest	
cuda	q6kF16CoopN256Kernel	RAN	1	manifest	
cuda	q6kF16CoopX1Kernel	RAN	1	manifest	
cuda	q6kF16CoopX3Kernel	RAN	1	manifest	
cuda	q6kMatVecKernel	RAN	2	manifest	
cuda	q6kQ8BatchMatMulKernel	RAN	68	manifest	
cuda	q6kQ8IdDownCombineKernel	SKIP	0	manifest	xpu-kernel-adaptor 6.4.2: the Q6_K packed-chunk MoE id kernels need a Q6_K expert-bank fixture; MoeIdKernelTest only builds Q4_K
cuda	q6kQ8IdMatVecKernel	SKIP	0	manifest	xpu-kernel-adaptor 6.4.2: the Q6_K packed-chunk MoE id kernels need a Q6_K expert-bank fixture; MoeIdKernelTest only builds Q4_K
cuda	q6kQ8MmqKernel	RAN	1	manifest	
cuda	q6kQ8WaveMatVecKernel	RAN	860	manifest	
cuda	q6kScaleImageKernel	RAN	1	manifest	
cuda	q6kWidenKernel	RAN	96	manifest	
cuda	q6kWmmaDeqMw4Kernel	RAN	2703	manifest	
cuda	q6kWmmaDeqMw8Kernel	RAN	2	manifest	
cuda	q6kWmmaEpiKernel	RAN	61	manifest	
cuda	q6kWmmaIdEpiKernel	RAN	1	manifest	
cuda	q6kWmmaIdKernel	RAN	2	manifest	
cuda	q6kWmmaIdMwKernel	RAN	2	manifest	
cuda	q6kWmmaKernel	RAN	1	manifest	
cuda	q80F16CoopX1Kernel	RAN	1	manifest	
cuda	q80F16CoopX3Kernel	RAN	4	manifest	
cuda	q80F32WaveMatVecKernel	RAN	14	manifest	
cuda	q80Q8WaveMatVecKernel	RAN	5	manifest	
cuda	q80WidenKernel	RAN	25	manifest	
cuda	q80WmmaDeqMw8Kernel	RAN	29	manifest	
cuda	q8MatVecKernel	RAN	1	manifest	
cuda	q8kPackKernel	RAN	3950	manifest	
cuda	qkNormRowsF32	RAN	2	manifest	
cuda	qkPrepKernel	RAN	1763	manifest	
cuda	qkvWaveMatVecKernel	RAN	1571	manifest	
cuda	reduceMaxF32	EXTERNAL	0	manifest	
cuda	reduceMinF32	EXTERNAL	0	manifest	
cuda	reduceSumBf16	EXTERNAL	0	manifest	
cuda	reduceSumF16	EXTERNAL	0	manifest	
cuda	reduceSumF32	EXTERNAL	0	manifest	
cuda	reduceSumSqF32	EXTERNAL	0	manifest	
cuda	rmsnormF32	RAN	1	manifest	
cuda	rmsnormPackRowF32	RAN	3444	manifest	
cuda	rmsnormRouterTopKKernel	RAN	21	manifest	
cuda	rmsnormRowF32	RAN	281	manifest	
cuda	rmsnormRowsF32	RAN	1684	manifest	
cuda	ropeDecodeKernel	RAN	8	manifest	
cuda	ropeF32	RAN	1640	manifest	
cuda	routeHistKernel	RAN	4	manifest	
cuda	routerBatchF32Kernel	RAN	91	manifest	
cuda	routerF32MatVecKernel	RAN	18	manifest	
cuda	routerTopKKernel	RAN	2	manifest	
cuda	routerTopKWaveKernel	RAN	16	manifest	
cuda	rowReadKernel	PROBE	0	manifest	
cuda	scaleF32	RAN	1	manifest	
cuda	scanStepF32	EXTERNAL	0	manifest	
cuda	scatterF32	EXTERNAL	0	manifest	
cuda	skewReadKernel	PROBE	0	manifest	
cuda	sliceF32	RAN	66	manifest	
cuda	sliceI8Kernel	RAN	1	manifest	
cuda	splitKernel	SKIP	0	manifest	xpu-kernel-adaptor 6.4.1: the byte-wise split is unreachable, every split format is dword-addressable (CensusReachTest pins the sweep); remove it or give it a format
cuda	splitPayloadKernel	RAN	382	manifest	
cuda	splitRows3F32	RAN	1	manifest	
cuda	splitScaleKernel	RAN	155	manifest	
cuda	splitScaleWordKernel	RAN	227	manifest	
cuda	streamReadKernel	PROBE	0	manifest	
cuda	symQ8IdDownCombineKernel	RAN	5	manifest	
cuda	symQ8IdMatVecKernel	RAN	2	manifest	
cuda	symScaleImageKernel	RAN	29	manifest	
cuda	symWmmaDeqIdMw8Kernel	RAN	2	manifest	
cuda	symWmmaDeqMw8IdKernel	RAN	5	manifest	
cuda	tileMmaKernel	PROBE	0	manifest	
cuda	tileSplatKernel	PROBE	0	manifest	
cuda	touchLinesKernel	PROBE	0	manifest	
cuda	tq10F16CoopX1Kernel	RAN	1	manifest	
cuda	tq10F16CoopX3Kernel	RAN	15	manifest	
cuda	tq10Q8WaveMatVecKernel	RAN	72	manifest	
cuda	tq20F16CoopX1Kernel	RAN	1	manifest	
cuda	tq20F16CoopX3Kernel	RAN	15	manifest	
cuda	tq20Q8WaveMatVecKernel	RAN	142	manifest	
cuda	wideReadKernel	PROBE	0	manifest	
